"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","267.81","264.29","268.38","264.29","","1.41%"
"05/30/2024","264.08","264.41","266.12","263.55","","-0.05%"
"05/29/2024","264.22","267.28","267.89","263.94","","-1.16%"
"05/27/2024","267.33","269.16","269.87","267.24","","-0.71%"
"05/24/2024","269.23","266.32","270.05","266.32","","1.34%"
"05/23/2024","265.67","265.44","266.76","264.18","","0.15%"
"05/22/2024","265.27","265.99","267.06","264.80","","-0.33%"
"05/21/2024","266.14","266.42","266.96","265.44","","0.00%"
"05/20/2024","266.14","267.95","268.60","265.66","","-0.56%"
"05/17/2024","267.65","266.95","268.03","266.55","","0.30%"
"05/16/2024","266.85","266.67","267.62","265.56","","0.16%"
"05/15/2024","266.43","266.01","267.62","265.12","","0.44%"
"05/14/2024","265.25","262.47","265.43","262.47","","1.34%"
"05/13/2024","261.75","260.10","262.90","259.44","","0.96%"
"05/10/2024","259.26","259.71","261.81","259.15","","0.06%"
"05/09/2024","259.10","260.91","261.34","258.66","","-0.97%"
"05/08/2024","261.63","262.62","263.00","260.68","","-0.41%"
"05/07/2024","262.71","264.23","264.96","262.45","","-0.64%"
"05/06/2024","264.41","263.83","265.97","263.68","","0.87%"
"05/03/2024","262.12","257.45","262.49","256.99","","1.47%"
"05/02/2024","258.32","259.67","260.64","258.08","","-0.55%"
"04/30/2024","259.74","261.10","263.34","259.45","","-0.43%"
"04/29/2024","260.85","266.79","267.60","260.46","","-2.12%"
"04/26/2024","266.49","263.53","266.75","262.14","","1.35%"
"04/25/2024","262.93","263.88","265.21","261.56","","-0.30%"
"04/24/2024","263.72","260.37","264.93","260.27","","1.40%"
"04/23/2024","260.09","260.14","260.94","259.20","","0.17%"
"04/22/2024","259.64","258.06","261.34","257.64","","0.78%"
"04/19/2024","257.64","255.11","257.77","254.19","","1.29%"
"04/18/2024","254.37","254.83","255.28","251.76","","0.18%"
"04/17/2024","253.91","254.84","255.85","253.56","","-0.51%"
"04/16/2024","255.21","255.19","257.07","254.80","","0.23%"
"04/15/2024","254.63","254.26","255.15","252.70","","0.15%"
"04/09/2024","254.24","253.09","256.51","253.09","","0.81%"
"04/08/2024","252.19","247.95","252.51","247.95","","1.94%"
"04/04/2024","247.39","247.42","247.93","245.96","","0.77%"
"04/03/2024","245.49","241.78","246.03","241.65","","1.45%"
"04/02/2024","241.97","242.14","242.36","241.11","","-0.08%"
"04/01/2024","242.16","243.29","243.78","241.63","","-0.24%"
"03/29/2024","242.74","243.85","244.01","242.35","","-0.36%"
"03/28/2024","243.62","241.85","244.21","241.85","","0.85%"
"03/27/2024","241.57","239.34","241.88","239.18","","1.03%"
"03/26/2024","239.11","238.50","239.35","238.11","","0.36%"
"03/25/2024","238.26","237.76","239.02","237.12","","0.65%"
"03/22/2024","236.71","237.99","238.14","236.23","","-0.51%"
"03/21/2024","237.92","239.79","240.34","237.60","","-0.58%"
"03/20/2024","239.30","239.75","240.45","239.01","","0.05%"
"03/19/2024","239.18","237.23","239.85","237.23","","0.86%"
"03/18/2024","237.15","237.86","238.45","236.91","","-0.26%"
"03/15/2024","237.78","239.80","240.04","237.45","","-0.87%"
"03/14/2024","239.87","236.63","240.40","236.63","","0.96%"
"03/13/2024","237.58","240.46","241.14","237.02","","-1.39%"
"03/12/2024","240.93","243.91","244.34","240.42","","-1.19%"
"03/11/2024","243.83","244.18","244.53","243.36","","0.09%"
"03/08/2024","243.60","244.44","245.21","243.32","","-0.38%"
"03/07/2024","244.54","244.58","245.64","242.87","","-0.34%"
"03/06/2024","245.38","245.90","247.41","245.13","","-0.20%"
"03/05/2024","245.87","248.23","248.32","245.22","","-0.79%"
"03/04/2024","247.82","245.88","248.11","245.84","","1.33%"
"03/01/2024","244.56","242.28","245.16","241.24","","1.31%"
"02/29/2024","241.40","236.97","242.38","236.88","","2.08%"
"02/28/2024","236.49","234.31","237.19","233.12","","1.00%"
"02/27/2024","234.14","234.91","235.56","233.35","","-0.12%"
"02/26/2024","234.43","234.95","236.24","233.66","","0.61%"
"02/23/2024","233.00","229.44","233.51","229.06","","1.18%"
"02/22/2024","230.29","229.15","230.68","228.08","","0.73%"
"02/21/2024","228.62","227.05","228.82","226.33","","1.98%"
"02/20/2024","224.18","225.21","227.74","223.83","","-0.21%"
"02/19/2024","224.65","219.51","224.89","218.42","","1.45%"
"02/16/2024","221.45","224.67","226.91","220.70","","-1.85%"
"02/15/2024","225.63","231.63","231.63","225.07","","-2.38%"
"02/14/2024","231.12","230.02","232.64","229.27","","1.32%"
"02/13/2024","228.12","224.94","229.91","221.25","","0.12%"
"02/12/2024","227.84","232.83","233.17","226.11","","-3.08%"
"02/09/2024","235.07","235.43","236.75","228.83","","-1.86%"
"02/07/2024","239.52","239.00","239.81","238.32","","0.52%"
"02/06/2024","238.29","236.51","238.74","236.35","","1.24%"
"02/02/2024","235.37","233.32","235.64","232.51","","0.87%"
"02/01/2024","233.33","231.30","233.70","230.19","","0.98%"
"01/31/2024","231.06","230.62","233.03","230.60","","0.55%"
"01/30/2024","229.79","232.31","234.17","228.31","","-1.00%"
"01/29/2024","232.10","237.04","237.04","231.63","","-2.05%"
"01/26/2024","236.96","238.11","239.60","236.52","","-0.59%"
"01/25/2024","238.36","241.03","242.50","237.98","","-1.10%"
"01/24/2024","241.00","240.34","242.37","239.43","","0.56%"
"01/23/2024","239.66","239.27","240.65","236.45","","0.44%"
"01/22/2024","238.61","235.15","239.11","234.53","","1.51%"
"01/19/2024","235.05","234.85","237.34","234.71","","0.34%"
"01/18/2024","234.25","235.89","235.94","231.89","","-0.67%"
"01/17/2024","235.82","235.68","237.51","234.02","","-0.13%"
"01/16/2024","236.13","238.72","238.72","235.00","","-1.11%"
"01/15/2024","238.78","240.61","242.17","238.13","","-0.20%"
"01/12/2024","239.27","239.85","241.69","238.61","","0.26%"
"01/11/2024","238.66","236.33","239.19","235.72","","1.15%"
"01/10/2024","235.95","237.38","238.38","235.71","","-0.40%"
"01/09/2024","236.90","238.26","239.22","236.05","","-0.03%"
"01/08/2024","236.96","237.52","239.88","236.35","","0.08%"
"01/05/2024","236.78","238.13","239.01","233.64","","-0.39%"
"01/04/2024","237.71","238.47","238.81","235.83","","0.08%"
"01/03/2024","237.52","236.82","239.38","235.62","","0.49%"
"01/02/2024","236.37","239.32","240.60","235.82","","-0.40%"
"01/01/2024","237.32","229.00","237.58","228.98","","3.97%"
"12/29/2023","228.25","227.99","229.41","226.66","","0.52%"
"12/28/2023","227.08","224.43","230.17","224.06","","1.72%"
"12/27/2023","223.25","218.10","223.99","216.28","","2.36%"
"12/26/2023","218.11","227.25","227.44","217.39","","-4.22%"
"12/22/2023","227.72","232.16","232.79","227.07","","-1.76%"
"12/21/2023","231.79","233.11","233.17","228.36","","0.07%"
"12/20/2023","231.63","233.18","234.86","226.18","","-0.56%"
"12/19/2023","232.93","240.56","240.71","231.29","","-3.30%"
"12/18/2023","240.89","245.46","245.75","240.33","","-1.45%"
"12/15/2023","244.44","243.33","245.14","241.71","","1.08%"
"12/14/2023","241.82","240.51","242.61","237.31","","0.55%"
"12/13/2023","240.50","245.04","246.60","237.25","","-1.39%"
"12/12/2023","243.88","242.93","244.77","242.92","","0.61%"
"12/11/2023","242.40","242.62","244.73","238.50","","-0.24%"
"12/08/2023","242.98","238.46","243.31","238.46","","2.52%"
"12/07/2023","237.00","235.86","238.85","234.34","","0.86%"
"12/06/2023","234.98","232.86","235.49","232.42","","1.42%"
"12/05/2023","231.70","231.37","232.22","228.46","","0.45%"
"12/04/2023","230.66","228.92","233.08","228.92","","1.48%"
"12/01/2023","227.29","224.05","227.73","224.05","","1.79%"
"11/30/2023","223.30","223.47","225.56","222.59","","0.44%"
"11/29/2023","222.32","223.42","226.52","220.93","","-0.20%"
"11/28/2023","222.77","219.05","223.40","219.05","","2.06%"
"11/27/2023","218.28","216.67","219.06","215.46","","1.23%"
"11/24/2023","215.62","215.12","216.62","214.78","","0.53%"
"11/23/2023","214.48","213.47","215.44","213.38","","0.49%"
"11/22/2023","213.44","210.43","214.45","210.43","","1.54%"
"11/21/2023","210.21","209.62","211.43","209.62","","0.38%"
"11/20/2023","209.41","210.56","210.81","208.71","","-0.57%"
"11/17/2023","210.60","213.52","214.20","210.24","","-1.22%"
"11/16/2023","213.21","211.07","214.18","209.59","","1.31%"
"11/15/2023","210.45","211.59","211.97","209.33","","-0.29%"
"11/14/2023","211.06","211.30","212.15","209.54","","0.28%"
"11/13/2023","210.47","205.92","210.66","205.92","","2.75%"
"11/10/2023","204.84","200.67","205.51","200.67","","2.18%"
"11/08/2023","200.47","198.26","201.23","198.26","","1.02%"
"11/07/2023","198.45","198.76","200.22","198.18","","0.22%"
"11/06/2023","198.02","196.65","198.37","195.84","","1.09%"
"11/03/2023","195.89","195.95","196.44","195.01","","-0.91%"
"11/02/2023","197.68","196.52","197.94","196.10","","0.44%"
"11/01/2023","196.82","195.86","197.30","195.80","","0.75%"
"10/31/2023","195.35","194.45","196.29","193.85","","0.80%"
"10/30/2023","193.80","191.92","193.97","191.92","","1.00%"
"10/27/2023","191.88","193.13","193.26","191.39","","-0.60%"
"10/26/2023","193.04","193.74","194.33","192.87","","-0.22%"
"10/25/2023","193.46","194.23","195.92","193.16","","-0.38%"
"10/24/2023","194.19","194.61","194.64","192.47","","-0.56%"
"10/23/2023","195.29","194.41","197.09","194.41","","0.84%"
"10/20/2023","193.67","191.67","194.27","191.11","","1.10%"
"10/19/2023","191.56","187.37","191.91","186.89","","2.29%"
"10/18/2023","187.27","187.42","188.44","186.98","","-0.39%"
"10/17/2023","188.01","189.65","190.06","187.76","","-1.29%"
"10/16/2023","190.47","190.86","192.03","189.16","","0.12%"
"10/13/2023","190.24","188.21","190.47","187.68","","1.27%"
"10/12/2023","187.85","186.22","188.22","185.97","","1.01%"
"10/11/2023","185.97","184.13","186.16","184.11","","1.01%"
"10/10/2023","184.11","183.30","184.37","183.11","","0.53%"
"10/09/2023","183.14","181.81","183.34","180.86","","0.64%"
"10/06/2023","181.97","181.98","182.40","181.44","","-0.58%"
"10/05/2023","183.03","182.71","183.41","182.56","","0.22%"
"10/04/2023","182.63","180.93","183.02","180.90","","0.91%"
"10/03/2023","180.98","180.56","181.21","180.44","","0.39%"
"10/02/2023","180.27","178.94","180.69","178.91","","0.98%"
"09/28/2023","178.52","180.84","180.84","178.32","","-1.03%"
"09/27/2023","180.38","180.21","180.73","179.79","","0.10%"
"09/26/2023","180.20","180.97","181.18","180.09","","-0.45%"
"09/25/2023","181.02","181.86","182.37","180.72","","-0.42%"
"09/22/2023","181.78","181.61","182.27","180.73","","0.41%"
"09/21/2023","181.04","180.06","181.48","179.25","","0.57%"
"09/20/2023","180.01","180.67","181.05","179.76","","-0.25%"
"09/19/2023","180.47","180.45","181.20","180.31","","0.18%"
"09/18/2023","180.15","179.98","180.56","179.55","","0.19%"
"09/15/2023","179.81","180.95","181.40","179.65","","0.09%"
"09/14/2023","179.64","179.49","180.33","179.36","","-0.14%"
"09/13/2023","179.89","179.75","180.61","179.63","","0.03%"
"09/12/2023","179.83","181.20","181.20","179.63","","-0.67%"
"09/11/2023","181.04","182.19","182.53","180.65","","-0.47%"
"09/08/2023","181.90","181.01","182.23","180.81","","0.59%"
"09/07/2023","180.83","181.67","182.33","180.59","","-0.36%"
"09/06/2023","181.49","180.63","181.71","180.11","","0.54%"
"09/05/2023","180.51","181.80","182.24","180.12","","-0.46%"
"09/04/2023","181.34","180.51","181.69","180.11","","0.92%"
"09/01/2023","179.68","178.51","179.90","177.62","","0.71%"
"08/31/2023","178.41","182.58","184.30","171.48","","-2.25%"
"08/30/2023","182.52","184.27","185.96","181.57","","-1.01%"
"08/29/2023","184.39","186.04","186.69","182.30","","-1.19%"
"08/28/2023","186.61","188.22","188.60","185.69","","-0.85%"
"08/25/2023","188.21","187.94","188.85","186.86","","-0.05%"
"08/24/2023","188.30","187.14","190.49","187.14","","0.80%"
"08/23/2023","186.80","187.17","187.62","185.26","","0.21%"
"08/22/2023","186.41","183.73","187.21","183.65","","1.06%"
"08/21/2023","184.46","186.81","187.35","184.18","","-1.79%"
"08/18/2023","187.83","188.76","191.04","187.36","","-0.30%"
"08/17/2023","188.39","185.40","190.78","185.40","","-2.12%"
"08/16/2023","192.48","196.70","196.70","191.94","","-2.00%"
"08/15/2023","196.40","198.36","198.69","196.22","","-0.47%"
"08/11/2023","197.32","194.24","199.01","193.49","","2.38%"
"08/10/2023","192.74","197.42","198.15","191.53","","-1.33%"
"08/09/2023","195.33","188.90","196.40","187.97","","3.05%"
"08/08/2023","189.55","192.92","192.95","188.79","","-2.13%"
"08/07/2023","193.68","196.71","198.87","192.89","","-0.97%"
"08/04/2023","195.58","194.27","197.31","194.09","","0.35%"
"08/03/2023","194.89","196.41","198.54","194.10","","-0.07%"
"08/02/2023","195.02","187.48","196.07","187.44","","3.97%"
"08/01/2023","187.58","188.35","189.15","185.88","","0.80%"
"07/31/2023","186.09","182.29","186.68","180.12","","2.87%"
"07/27/2023","180.90","178.40","183.82","177.12","","1.48%"
"07/26/2023","178.27","179.83","179.83","178.09","","-0.44%"
"07/25/2023","179.06","177.83","179.68","177.21","","1.11%"
"07/24/2023","177.10","178.02","178.82","176.64","","-0.16%"
"07/21/2023","177.38","178.76","196.50","177.11","","-0.56%"
"07/20/2023","178.37","175.74","179.17","175.50","","1.80%"
"07/19/2023","175.22","176.84","177.52","174.95","","-0.52%"
"07/18/2023","176.13","177.42","178.12","175.74","","-0.72%"
"07/17/2023","177.40","179.00","179.81","177.13","","-0.95%"
"07/14/2023","179.11","180.95","181.83","178.85","","-1.40%"
"07/13/2023","181.65","183.82","185.14","181.34","","-0.73%"
"07/12/2023","182.98","182.70","183.79","181.57","","0.53%"
"07/11/2023","182.01","182.30","183.46","181.54","","0.05%"
"07/10/2023","181.92","183.58","184.77","181.68","","-0.74%"
"07/07/2023","183.28","185.06","185.79","183.16","","-0.94%"
"07/06/2023","185.01","180.09","186.05","179.75","","3.08%"
"07/05/2023","179.49","183.37","183.37","179.18","","-1.34%"
"07/04/2023","181.92","187.21","187.21","181.46","","-1.30%"
"07/03/2023","184.32","185.88","185.88","178.62","","6.59%"
"06/27/2023","172.92","173.93","174.36","172.41","","-0.65%"
"06/26/2023","174.06","169.69","175.54","169.69","","3.50%"
"06/23/2023","168.17","168.86","169.64","167.67","","-0.17%"
"06/22/2023","168.45","169.50","170.20","168.05","","-0.44%"
"06/21/2023","169.20","171.51","174.96","168.99","","-1.13%"
"06/20/2023","171.13","170.24","171.43","169.57","","0.66%"
"06/19/2023","170.00","174.62","175.84","169.51","","-2.43%"
"06/16/2023","174.24","175.73","176.68","173.97","","-0.63%"
"06/15/2023","175.34","176.79","177.29","175.03","","-1.07%"
"06/14/2023","177.23","175.57","177.75","175.57","","0.50%"
"06/13/2023","176.34","178.28","180.79","175.98","","-0.77%"
"06/12/2023","177.70","179.65","180.84","177.35","","-1.35%"
"06/09/2023","180.14","179.20","181.00","179.08","","0.59%"
"06/08/2023","179.08","180.63","182.50","178.72","","-0.84%"
"06/07/2023","180.60","180.52","181.84","180.10","","-0.30%"
"06/06/2023","181.15","179.26","183.16","178.92","","1.25%"
"06/05/2023","178.91","178.03","179.42","176.44","","0.96%"
"06/02/2023","177.21","180.16","181.16","176.89","","-1.58%"
"06/01/2023","180.06","181.10","181.25","179.50","","-0.23%"
"05/31/2023","180.48","181.00","181.69","179.87","","-0.23%"
"05/30/2023","180.90","179.07","181.85","179.07","","0.82%"
"05/29/2023","179.42","177.74","181.62","177.51","","1.07%"
"05/26/2023","177.52","176.92","179.54","176.49","","0.31%"
"05/25/2023","176.97","176.63","177.52","175.85","","0.43%"
"05/24/2023","176.22","176.84","177.71","175.90","","-0.22%"
"05/23/2023","176.60","176.59","178.31","176.04","","0.01%"
"05/22/2023","176.59","176.76","177.33","176.10","","-0.23%"
"05/19/2023","176.99","175.77","177.21","175.57","","0.68%"
"05/18/2023","175.79","179.47","180.13","175.60","","-1.82%"
"05/17/2023","179.04","180.61","182.18","178.86","","-0.48%"
"05/16/2023","179.91","177.43","186.20","177.14","","1.90%"
"05/15/2023","176.56","175.25","176.94","173.93","","0.73%"
"05/12/2023","175.28","175.79","176.97","174.82","","-0.08%"
"05/11/2023","175.42","174.40","176.10","174.40","","0.75%"
"05/10/2023","174.12","175.87","176.47","174.00","","-1.10%"
"05/09/2023","176.06","179.33","179.49","175.41","","-1.76%"
"05/08/2023","179.21","182.56","182.93","178.73","","-2.40%"
"05/05/2023","183.62","181.63","184.18","181.02","","1.12%"
"05/04/2023","181.58","184.42","185.14","181.46","","-1.56%"
"05/03/2023","184.46","184.10","185.01","182.77","","0.55%"
"05/02/2023","183.46","184.08","186.68","183.16","","-8.12%"
"04/28/2023","199.67","200.39","201.82","198.83","","-0.18%"
"04/27/2023","200.03","200.19","201.16","198.57","","0.18%"
"04/26/2023","199.67","204.07","204.18","199.27","","-1.04%"
"04/21/2023","201.77","201.77","201.77","201.77","","0.00%"
"04/20/2023","201.77","196.80","203.35","196.26","","4.22%"
"04/19/2023","193.60","190.87","194.24","190.22","","1.86%"
"04/18/2023","190.07","186.94","190.93","184.71","","2.24%"
"04/17/2023","185.91","184.32","186.30","183.60","","1.14%"
"04/13/2023","183.81","185.14","186.38","183.39","","0.05%"
"04/12/2023","183.71","182.24","184.70","182.24","","0.64%"
"04/11/2023","182.55","183.81","184.75","182.19","","-0.45%"
"04/10/2023","183.37","184.02","185.10","183.18","","-0.43%"
"04/07/2023","184.16","188.35","188.88","183.69","","-2.08%"
"04/06/2023","188.07","181.36","188.36","181.32","","4.15%"
"04/05/2023","180.58","181.70","182.75","179.95","","-0.58%"
"04/04/2023","181.63","183.44","184.86","179.82","","-1.05%"
"04/03/2023","183.56","185.04","186.09","181.92","","-0.44%"
"03/31/2023","184.38","187.00","187.29","183.31","","-0.94%"
"03/30/2023","186.13","186.65","188.12","185.91","","-0.09%"
"03/29/2023","186.30","187.89","188.52","185.89","","-0.69%"
"03/28/2023","187.60","187.89","188.85","187.28","","-0.15%"
"03/27/2023","187.89","188.23","189.35","187.28","","-0.34%"
"03/24/2023","188.53","189.53","189.53","186.53","","-0.53%"
"03/22/2023","189.53","192.23","193.22","189.10","","-1.43%"
"03/21/2023","192.27","191.55","193.09","190.15","","0.44%"
"03/20/2023","191.42","195.78","195.85","190.61","","-2.29%"
"03/17/2023","195.91","197.66","197.66","195.16","","-0.39%"
"03/16/2023","196.67","198.97","199.94","196.40","","-1.03%"
"03/15/2023","198.72","199.96","200.65","198.36","","-0.70%"
"03/14/2023","200.13","200.98","201.13","199.11","","-0.58%"
"03/13/2023","201.29","198.35","201.51","198.35","","2.42%"
"03/10/2023","196.53","197.55","197.66","196.46","","-0.36%"
"03/09/2023","197.24","196.98","197.64","196.70","","0.33%"
"03/08/2023","196.59","195.70","197.80","195.39","","0.33%"
"03/07/2023","195.94","197.46","197.46","195.62","","-0.50%"
"03/06/2023","196.92","197.77","199.63","196.43","","-0.92%"
"03/03/2023","198.75","194.51","199.80","194.36","","1.71%"
"03/02/2023","195.41","191.70","195.70","191.70","","1.63%"
"03/01/2023","192.28","193.50","193.50","190.22","","-0.87%"
"02/28/2023","193.97","198.44","198.78","193.21","","-1.98%"
"02/27/2023","197.89","199.80","200.90","196.58","","-1.22%"
